인증명,업소명,주소,연락처,인증유형,인증 등급,인증시작날짜,인증만료날짜
한국관광 품질인증,강과소나무,강원도 정선군 북평면 졸드루길 31-57,,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,뉴스타트설악리조트(그린심포니채식뷔페),강원도 속초시 설악산로836번길 6 (설악동),,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,위드유호텔앤게스트하우스,강원도 속초시 동해대로 3993 (조양동),033-631-3620,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,호텔 아마란스,강원도 속초시 온천로 55 (노학동),033-636-5252,숙박업(일반),프리미어,2023-03-07,2026-03-06
한국관광 품질인증,브이브이(vv) 호텔,강원도 강릉시 하슬라로192번길 22-1 (교동),033-647-2222,숙박업(일반),프리미어,2023-03-07,2026-03-06
한국관광 품질인증,강릉아이앤지게스트하우스,강원도 강릉시 용지각길 19 (포남동),,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,강릉게스트하우스 중앙점,강원도 강릉시 경강로2103번길 17 (임당동),,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,루소호텔,강원도 강릉시 교동광장로100번길 12 (교동),033-647-9400,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,카리브모텔,강원도 강릉시 강동면 헌화로 969,033-641-2355,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,(주)에이스디엔씨,부산광역시 해운대구 구남로 46 (중동),051-730-9900,숙박업(일반),프리미어,2023-03-07,2026-03-06
한국관광 품질인증,주식회사 씨엔티,부산광역시 부산진구 중앙대로691번길 32 (부전동),051-805-9901,숙박업(일반),프리미어,2023-03-07,2026-03-06
한국관광 품질인증,르네상스호텔,부산광역시 사상구 광장로 60 (괘법동),051-312-8580,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,57명동호스텔,서울특별시 중구 명동2길 57 (충무로1가),02-778-8835,숙박업(일반),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,창전이앤시(주),강원도 강릉시 강동면 정동등명길 43,033-644-1771,숙박업(생활),스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,태백산한옥민박,강원도 태백시 소롯골길 34 (소도동),,한옥체험업,스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,담소정,서울특별시 종로구 북촌로9길 16-2 (가회동),,한옥체험업,스탠더드,2023-04-21,2026-04-20
한국관광 품질인증,서촌게스트하우스,서울특별시 종로구 자하문로7길 28-3 (통인동),02-473-9680,한옥체험업,프리미어,2023-03-07,2026-03-06
한국관광 품질인증,연우하우스,서울특별시 종로구 북촌로12길 5-13 (가회동),02-742-1115,한옥체험업,스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,인우하우스,서울특별시 종로구 계동6길 9 (계동),,한옥체험업,스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,풍경,서울특별시 종로구 성균관로 32-6 (명륜2가),,한옥체험업,스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,(주)배다리문화원,강원도 강릉시 운정길 63 (운정동),033-646-3270,한옥체험업,스탠더드,2023-03-07,2026-03-06
한국관광 품질인증,롯데쇼핑(주)롯데아울렛 서울역점,서울특별시 중구 한강대로 405 (봉래동2가),02-6965-2531,외국인관광객면세판매장,,2023-03-07,2026-03-06
한국관광 품질인증,카포상사,서울특별시 중구 을지로 282 (을지로7가),02-2237-8777,외국인관광객면세판매장,,2023-03-07,2026-03-06
