콘텐츠아이디,콘텐츠분류명,콘텐츠분류코드,콘텐츠명,지역명,광역코드,시군구명,시군구코드,대표이미지 URL,기사상세정보URL
f2b57408-dfad-4c39-b8b7-1107ba58f731,축제여행 ,10700,아기다리고 기다리던 보령머드축제!,충청남도,34,보령시,5,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4a737470-2190-409d-a06f-74eb577e5d00,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=f2b57408-dfad-4c39-b8b7-1107ba58f731
48df9829-b584-4a04-8b71-3a9260b5f96f,이색체험여행,10200,명당에서 즐기는 고택체험…거창 황산전통한옥마을,경상남도,36,거창군,2,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4b388c1a-26ad-4b03-8b01-d852dd4d992c,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=48df9829-b584-4a04-8b71-3a9260b5f96f
47e4dd8d-3daf-4552-abac-e43a17fc90ea,맛있는여행,11200,"말복아 기다려라, 보양식을 준비했다! 여름대표보양식 삼계탕&민물장어",서울,1,종로구,23,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e9b9029c-909b-49dc-ab50-17a4f1fcc21b,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=47e4dd8d-3daf-4552-abac-e43a17fc90ea
f6a73381-60f0-4a7f-b628-7d677d07b191,자연체험여행,10100,"자연 치유의 도시, 제천 관광두레 마을로 떠나는 1일 체험여행",충청북도,33,제천시,7,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=472dc9e2-af67-4e28-8625-7f8f8ec1e44c,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=f6a73381-60f0-4a7f-b628-7d677d07b191
917e1fee-a5bc-4fe3-9576-02d83c1fc0e7,맛있는여행,11200,"쫄깃쫄깃 진한 맛이 생각날 때, 대구 중리동 곱창골목",대구,4,서구,6,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c9abeae7-8863-416d-afb4-9d77f2560673,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=917e1fee-a5bc-4fe3-9576-02d83c1fc0e7
c5219aae-b338-47ea-81b9-11162e111722,도심풍경여행 ,11100,한남동 뒷골목여행,서울,1,용산구,21,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a3d5fa3c-0275-47a2-b448-63102435f890,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=c5219aae-b338-47ea-81b9-11162e111722
18ffee65-de60-4a0f-b9a9-ad6a09de3055,명소여행 ,11400,45억 아시아의 축제가 펼쳐집니다! 총36 종목 3000개 넘는 메달 두고 경쟁,인천,2,서구,7,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0f874003-a7c2-4c23-a17c-607dae042c6b,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=18ffee65-de60-4a0f-b9a9-ad6a09de3055
fec1924b-526b-424d-b2f5-019e10103567,촬영지여행 ,10800,"드라마 ‘연애의 발견’ 그들의 사랑이 시작된 공간, 진주역&연화도",경상남도,36,통영시,17,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c7ec2137-7183-4a12-bac5-a94029cd73be,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=fec1924b-526b-424d-b2f5-019e10103567
34244924-21f3-41de-ab27-7b354df1149f,맛있는여행,11200,인사동3길 맛집 골목의 주전부리 세 가지,서울,1,종로구,23,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6f6fe9ff-e217-4c2f-ae24-82d6dd56bed9,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=34244924-21f3-41de-ab27-7b354df1149f
6c976a95-0bcf-457c-963a-2016f0344e88,액티비티여행  ,10300,"캠퍼, 섬을 그리워하다 ‘신안 암태도 몽돌바다캠핑장’",전라남도,38,신안군,12,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0770b4ca-9fdb-4362-b22b-de2ab2630f13,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=6c976a95-0bcf-457c-963a-2016f0344e88
561a18c9-940d-42c9-bda0-1b5850189c6b,액티비티여행  ,10300,"기차 타고 떠나요, 충주 삼탄유원지 & 인등산",충청북도,33,충주시,11,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=517709c4-6728-474d-bd9b-1a256e684567,https://korean.visitkorea.or.kr/detail/rem_detail.do?con_type=11300&cotid=561a18c9-940d-42c9-bda0-1b5850189c6b
